aX,aY,aZ,gX,gY,gZ
0.881,0.271,0.337,4.7,-3.845,-3.601
0.876,0.263,0.337,3.906,-3.418,-2.502
0.878,0.266,0.333,5.249,-3.296,-0.671
0.877,0.286,0.33,7.141,-3.296,1.038
0.874,0.295,0.326,10.071,-3.418,1.465
0.871,0.3,0.327,10.986,-2.991,0.61
0.87,0.299,0.324,10.437,-2.747,-0.061
0.868,0.296,0.326,9.399,-2.38,-0.183
0.869,0.294,0.327,8.179,-2.136,-0.427
0.869,0.29,0.328,6.165,-1.953,-0.671
0.865,0.28,0.329,3.357,-1.709,-0.244
0.864,0.272,0.33,1.038,-1.16,0.732
0.864,0.28,0.336,-0.671,-0.916,2.563
0.871,0.291,0.334,-2.075,-0.122,3.906
0.876,0.296,0.328,-2.869,0.854,4.15
0.876,0.286,0.318,-2.686,1.343,3.54
0.876,0.286,0.311,-2.686,0.732,3.174
0.881,0.291,0.312,-0.366,-0.854,2.747
,,,,,
0.502,1.937,-0.167,-162.109,42.664,94.666
0.5,1.945,-0.191,-173.767,33.142,81.482
0.522,1.916,-0.211,-176.941,19.165,59.448
0.532,1.824,-0.184,-172.18,-0.366,27.1
0.505,1.65,-0.086,-158.264,-24.17,-8.362
0.498,1.432,0.034,-148.193,-45.227,-39.612
0.502,1.146,0.149,-151.55,-61.523,-58.838
0.509,0.905,0.266,-158.325,-75.5,-68.115
0.507,0.651,0.403,-156.616,-87.463,-69.214
0.549,0.416,0.465,-158.264,-100.708,-66.406
0.607,0.261,0.601,-160.889,-107.971,-62.073
0.633,0.126,0.725,-149.597,-120.544,-59.753
0.728,0.026,0.878,-132.202,-125.427,-59.204
0.773,-0.053,0.957,-122.009,-125.671,-60.364
0.835,-0.127,1.02,-116.699,-119.324,-61.279
0.861,-0.182,1.042,-110.046,-110.046,-62.5
0.888,-0.215,1.045,-104.065,-100.037,-61.401
0.91,-0.242,1.037,-102.356,-89.844,-57.007
0.919,-0.25,1.021,-103.516,-80.505,-51.025
0.923,-0.23,0.99,-102.661,-72.693,-44.128
0.922,-0.19,0.944,-102.356,-65.674,-37.476
0.919,-0.162,0.899,-100.952,-59.509,-33.203
0.913,-0.146,0.863,-95.337,-55.298,-32.837
0.909,-0.134,0.836,-88.501,-52.429,-34.668
0.916,-0.13,0.812,-80.811,-50.11,-37.415
0.929,-0.133,0.803,-71.533,-47.974,-40.71
0.926,-0.158,0.795,-61.584,-46.509,-44.495
0.933,-0.174,0.79,-52.368,-44.556,-47.852
0.934,-0.187,0.785,-45.227,-42.114,-48.95
0.941,-0.211,0.781,-39.734,-39.185,-48.279
0.948,-0.217,0.772,-39.246,-36.072,-45.715
0.949,-0.23,0.755,-38.94,-33.264,-43.274
0.944,-0.241,0.74,-36.926,-29.968,-41.931
0.932,-0.239,0.715,-31.738,-26.672,-40.833
0.931,-0.227,0.686,-26.672,-22.827,-39.429
0.922,-0.219,0.648,-20.447,-18.921,-38.574
0.916,-0.214,0.609,-12.695,-16.174,-38.574
0.914,-0.197,0.563,-8.179,-13.672,-36.194
0.908,-0.197,0.522,-6.104,-11.536,-32.715
0.9,-0.198,0.487,-4.578,-11.23,-29.907
0.87,-0.19,0.463,-2.38,-12.268,-26.917
0.919,-0.177,0.455,1.16,-15.503,-26.794
