aX,aY,aZ,gX,gY,gZ
0.599,-0.464,-0.741,-34.18,87.402,1.404
0.596,-0.451,-0.755,-32.532,87.219,-3.784
0.558,-0.464,-0.732,-31.372,86.243,-11.353
0.556,-0.441,-0.773,-26.001,76.05,-24.597
0.564,-0.451,-0.762,-25.146,72.144,-28.503
0.562,-0.462,-0.731,-27.588,69.58,-29.846
0.567,-0.461,-0.719,-19.714,61.279,-31.128
0.574,-0.475,-0.736,-7.568,52.856,-28.748
0.58,-0.5,-0.743,-0.488,47.363,-24.536
0.59,-0.525,-0.749,1.77,43.091,-22.705
0.587,-0.549,-0.745,2.441,37.598,-22.095
0.579,-0.56,-0.748,-2.38,32.288,-19.775
0.608,-0.56,-0.732,-9.949,29.785,-18.372
0.61,-0.552,-0.717,-15.442,26.367,-14.832
0.609,-0.552,-0.719,-13.794,20.508,-10.437
0.612,-0.548,-0.72,-10.376,14.221,-6.104
0.62,-0.538,-0.717,-6.958,10.315,-4.333
0.625,-0.529,-0.705,-6.104,6.775,-2.38
0.615,-0.52,-0.708,-3.845,1.526,1.587
0.601,-0.512,-0.714,-0.916,-1.892,3.296
0.606,-0.501,-0.705,-2.075,-4.456,4.456
0.607,-0.482,-0.691,-3.967,-7.935,4.272
0.615,-0.469,-0.68,-4.883,-9.827,3.601
0.614,-0.459,-0.668,-2.014,-10.742,2.258
0.584,-0.447,-0.672,4.333,-11.719,0.793
0.623,-0.468,-0.652,17.029,-13.794,-1.587
0.605,-0.45,-0.672,21.606,-15.381,-2.686
0.664,-0.473,-0.637,26.306,-16.418,-3.723
0.632,-0.462,-0.663,16.418,-16.479,-2.502
0.625,-0.467,-0.66,11.475,-15.259,-2.991
0.638,-0.471,-0.656,8.179,-13.855,-4.7
0.648,-0.479,-0.643,6.958,-12.512,-5.981
0.642,-0.488,-0.646,5.92,-11.963,-6.104
0.623,-0.491,-0.635,4.822,-10.925,-6.226
0.708,-0.502,-0.633,3.479,-10.01,-7.019
0.671,-0.5,-0.623,3.967,-9.033,-5.127
0.672,-0.505,-0.628,3.906,-9.46,-2.502
0.671,-0.504,-0.621,2.502,-8.789,-1.221
0.669,-0.502,-0.615,0.488,-7.019,0.305
0.672,-0.501,-0.613,0.366,-6.47,2.136
0.669,-0.499,-0.619,0.244,-5.92,3.54
0.665,-0.494,-0.622,0.427,-4.822,3.967
0.666,-0.488,-0.618,-0.244,-4.272,4.456
0.667,-0.481,-0.615,-0.244,-3.906,4.517
0.668,-0.476,-0.617,0.183,-3.906,3.723
0.663,-0.477,-0.614,0.122,-4.7,3.113
0.663,-0.474,-0.609,-0.854,-5.188,2.38
0.666,-0.471,-0.608,-1.526,-5.127,1.526
0.673,-0.473,-0.608,-1.404,-5.005,0.916
0.67,-0.477,-0.605,-0.916,-5.005,0.488
0.674,-0.483,-0.607,0.916,-4.822,0
0.677,-0.491,-0.611,2.38,-4.028,0.122
0.681,-0.497,-0.614,2.563,-3.845,0.732
0.678,-0.497,-0.612,2.808,-3.845,1.77
0.677,-0.495,-0.612,3.906,-3.906,2.563
0.676,-0.492,-0.61,2.747,-2.319,3.052
0.671,-0.487,-0.611,2.991,-2.747,4.578
0.672,-0.482,-0.61,3.601,-2.625,5.188
0.679,-0.478,-0.613,3.967,-2.38,5.127
0.678,-0.475,-0.616,4.517,-2.075,5.188
0.678,-0.473,-0.612,5.432,-2.747,4.7
0.678,-0.472,-0.604,4.211,-1.648,4.028
0.68,-0.469,-0.603,5.005,-2.38,3.906
0.68,-0.465,-0.6,4.272,-1.831,2.747
0.68,-0.463,-0.599,4.517,-3.052,1.953
0.676,-0.464,-0.6,3.906,-2.441,1.282
0.676,-0.462,-0.604,4.578,-3.479,1.099
0.678,-0.463,-0.602,4.15,-2.563,-0.488
,,,,,
0.357,0.596,2.38,-25.146,-33.081,10.376
0.266,0.734,2.826,-28.625,-2.441,-4.028
0.175,0.773,3.11,-36.743,46.936,-26.733
0.196,0.737,3.19,-51.331,106.14,-53.772
0.212,0.677,3.168,-73.181,159.424,-75.562
0.184,0.633,3.073,-96.252,199.829,-88.013
0.105,0.614,2.938,-114.929,234.802,-91.797
-0.042,0.641,2.754,-122.192,268.127,-94.604
-0.216,0.681,2.535,-116.882,303.345,-101.746
-0.417,0.655,2.266,-100.769,339.722,-115.417
-0.58,0.584,1.952,-80.933,374.023,-133.484
-0.702,0.46,1.582,-60.974,404.663,-152.222
-0.753,0.272,1.204,-42.908,430.176,-168.518
-0.968,0.122,0.852,-29.968,450.012,-179.626
-0.963,-0.053,0.471,-13.428,460.144,-181.885
-0.872,-0.148,0.149,0.732,459.167,-180.603
-0.714,-0.23,-0.06,0.122,443.848,-176.086
-0.599,-0.282,-0.25,-12.756,418.945,-167.664
-0.466,-0.294,-0.372,-27.71,384.949,-154.968
-0.304,-0.255,-0.417,-50.598,351.746,-141.541
-0.167,-0.224,-0.458,-70.862,326.538,-131.592
-0.052,-0.215,-0.519,-74.158,305.359,-123.657
0.064,-0.22,-0.567,-62.988,286.499,-118.408
0.098,-0.253,-0.651,-51.147,267.761,-115.906
0.145,-0.288,-0.673,-45.715,246.033,-112.793
0.171,-0.345,-0.701,-49.5,226.624,-109.131
0.211,-0.405,-0.675,-56.396,209.167,-108.154
0.262,-0.456,-0.65,-59.814,194.458,-108.704
0.327,-0.497,-0.643,-58.716,182.129,-110.474
0.394,-0.55,-0.649,-54.932,170.715,-109.497
0.445,-0.595,-0.674,-48.401,159.485,-103.943
0.527,-0.63,-0.692,-42.175,148.865,-95.642
0.584,-0.635,-0.702,-39.673,135.62,-84.656
0.627,-0.63,-0.687,-42.114,123.108,-74.219
0.65,-0.62,-0.663,-44.128,110.168,-64.758
0.66,-0.616,-0.648,-44.189,100.647,-58.655
0.671,-0.617,-0.636,-42.48,91.431,-52.551
0.703,-0.61,-0.622,-41.443,84.717,-47.729
0.731,-0.61,-0.585,-45.593,82.764,-42.114
0.733,-0.616,-0.553,-45.41,80.139,-35.217
0.724,-0.631,-0.543,-37.354,75.928,-28.32
0.729,-0.634,-0.526,-31.433,78.796,-23.682
