aX,aY,aZ,gX,gY,gZ
-0.572,0.080,1.576,-37.170,116.516,36.194
-0.660,-0.071,1.329,-50.842,84.717,25.452
-0.628,0.298,1.334,-81.482,71.289,24.109
-0.668,0.133,1.389,-14.648,36.133,17.090
-0.691,0.032,1.080,-9.155,41.809,-1.038
-0.728,0.161,1.066,-44.312,37.415,6.287
-0.742,0.205,1.019,-49.438,32.288,10.559
-0.724,0.245,0.973,-56.274,36.255,13.794
-0.709,0.267,0.968,-39.124,42.480,18.433
-0.721,0.178,0.897,-16.785,50.415,20.569
-0.597,0.195,0.926,-14.221,55.542,26.978
-0.552,0.179,1.041,1.038,39.673,32.349
-0.541,0.084,0.976,15.259,30.029,26.245
-0.555,0.084,0.907,12.939,23.926,22.034
-0.559,0.067,0.854,16.235,18.066,19.043
-0.559,0.039,0.800,15.869,18.005,15.625
-0.559,0.044,0.799,13.489,18.005,14.526
-0.578,0.060,0.799,6.714,20.996,13.855
-0.543,0.065,0.811,2.197,24.475,13.123
-0.556,0.073,0.858,-2.258,23.132,13.855
-0.542,0.078,0.876,-7.324,25.757,15.747
-0.526,0.066,0.895,-7.080,25.818,19.043
-0.510,0.030,0.890,-6.104,23.743,20.020
-0.488,0.023,0.915,-8.423,17.212,21.057
-0.500,0.013,0.917,-5.615,7.935,19.592
-0.496,-0.000,0.880,-0.610,4.517,14.709
-0.500,-0.003,0.851,6.104,1.526,9.277
-0.514,0.000,0.825,8.423,-0.305,4.150
-0.532,0.009,0.805,7.812,-0.549,1.709
-0.541,0.020,0.795,6.104,2.136,2.014
-0.539,0.032,0.800,3.723,4.395,3.906
-0.530,0.029,0.816,3.113,6.348,4.272
-0.519,0.019,0.827,4.395,8.362,4.089
-0.510,0.008,0.838,5.188,8.118,3.174
-0.507,0.010,0.847,5.554,5.920,2.014
-0.504,0.009,0.842,4.395,3.357,-0.061
-0.504,0.012,0.835,2.869,-0.732,-1.953
-0.513,0.023,0.822,0.000,-2.930,-3.906
-0.527,0.037,0.816,-1.587,-5.920,-4.272
-0.536,0.048,0.814,-1.587,-5.005,-6.104
-0.544,0.055,0.813,-3.662,-3.052,-5.310
-0.545,0.063,0.815,-4.883,0.000,-3.662
-0.544,0.067,0.819,-5.798,2.502,-2.136
-0.537,0.074,0.830,-4.272,3.662,-0.610
-0.531,0.084,0.837,-2.136,5.676,-0.916
-0.520,0.088,0.854,-1.953,6.104,-1.038
-0.521,0.094,0.857,1.343,3.845,-2.075
-0.520,0.099,0.851,1.770,2.014,-2.136
-0.523,0.097,0.842,3.357,-2.197,-1.648
-0.531,0.090,0.828,5.310,-3.113,-2.625
-0.534,0.086,0.813,4.333,-1.892,-2.502
-0.531,0.084,0.807,3.723,-2.380,-1.099
-0.537,0.091,0.804,4.700,-1.526,-0.610
-0.540,0.091,0.797,3.906,1.160,-0.305
-0.536,0.089,0.796,0.244,3.479,1.648
-0.522,0.090,0.805,0.122,3.357,3.723
-0.515,0.079,0.819,1.648,2.441,3.723
-0.508,0.068,0.821,2.014,3.113,2.686
-0.500,0.060,0.825,3.113,1.099,2.625
-0.502,0.059,0.821,4.761,0.183,0.366
-0.507,0.062,0.816,2.686,-0.183,-0.427
-0.514,0.063,0.815,1.953,-3.113,-0.305
-0.525,0.061,0.817,2.075,-4.150,-0.854
-0.530,0.061,0.810,0.427,-2.258,-0.854
-0.530,0.060,0.811,-0.183,-2.014,0.732
-0.531,0.059,0.812,-1.831,-1.038,1.221
-0.531,0.053,0.822,-3.967,-0.305,2.197
-0.523,0.059,0.830,-6.104,1.221,2.502
-0.518,0.057,0.844,-4.761,0.854,2.747
-0.511,0.062,0.850,-3.113,1.221,2.441
-0.513,0.054,0.852,0.366,0.488,1.038
-0.512,0.049,0.847,0.854,0.122,1.038
-0.509,0.043,0.841,1.587,-1.953,0.000
-0.512,0.036,0.843,0.549,-3.540,-0.977
-0.516,0.040,0.834,-0.305,-3.662,-2.869
-0.518,0.043,0.830,-2.197,-5.005,-3.479
-0.518,0.053,0.829,-4.028,-5.432,-4.578
-0.523,0.059,0.820,-6.287,-5.310,-4.272
-0.523,0.069,0.818,-8.240,-5.005,-4.211
-0.520,0.083,0.815,-10.132,-4.944,-3.967
-0.520,0.089,0.820,-11.719,-4.883,-3.662
-0.519,0.103,0.826,-11.353,-4.883,-3.540
-0.524,0.107,0.838,-8.606,-5.310,-3.784
-0.531,0.114,0.843,-3.906,-4.089,-3.418
-0.529,0.099,0.831,3.418,-2.075,-2.625
-0.524,0.087,0.819,7.202,-1.343,-1.892
-0.522,0.082,0.813,6.775,-1.587,-2.014
-0.521,0.086,0.813,3.052,-3.235,-2.808
-0.524,0.097,0.819,-0.305,-4.578,-3.052
-0.527,0.103,0.821,-1.343,-4.944,-2.747
-0.533,0.106,0.817,-0.732,-4.456,-2.441
-0.537,0.105,0.816,0.488,-4.333,-1.465
-0.538,0.105,0.817,0.427,-4.333,-0.366
-0.531,0.103,0.817,0.305,-3.906,0.488
-0.530,0.101,0.817,1.160,-3.113,0.671
-0.528,0.105,0.817,2.197,-2.441,0.916
-0.523,0.103,0.825,2.380,-1.465,0.610
-0.526,0.103,0.819,2.991,-1.404,-0.183
-0.528,0.103,0.819,2.502,-3.113,0.122
-0.531,0.099,0.814,1.099,-2.930,-0.427
-0.533,0.098,0.814,0.793,-2.991,0.610
-0.532,0.095,0.809,2.441,-3.296,0.488
-0.528,0.095,0.811,2.869,-2.625,1.343
-0.528,0.087,0.811,4.517,-1.953,0.427
-0.523,0.086,0.812,3.906,-1.160,0.549
-0.524,0.087,0.810,3.845,-1.526,0.122
-0.525,0.089,0.813,2.991,-1.831,0.244
-0.531,0.093,0.813,3.418,-1.770,-0.305

-0.785,-0.289,1.773,-110.718,259.033,43.457
-0.950,-0.243,1.995,-124.084,235.657,23.621
-1.092,-0.180,2.078,-111.267,211.609,10.742
-1.167,-0.114,2.025,-86.487,189.514,9.216
-1.189,-0.079,1.863,-61.279,166.809,15.137
-1.160,-0.065,1.649,-42.542,151.550,22.888
-1.107,-0.052,1.448,-33.447,138.611,30.701
-1.037,-0.048,1.265,-35.461,129.639,34.973
-0.949,-0.020,1.149,-40.466,120.728,38.086
-0.981,-0.137,0.934,-45.288,115.845,40.588
-0.818,0.146,0.921,-79.346,125.732,49.683
-0.740,-0.005,1.000,-45.532,99.915,54.810
-0.667,0.014,0.951,-54.382,92.773,48.645
-0.629,0.034,0.904,-70.679,84.839,43.762
-0.661,0.030,0.879,-66.284,75.928,32.776
-0.664,0.060,0.818,-66.223,72.632,25.269
-0.689,0.057,0.740,-52.185,72.937,20.203
-0.758,0.051,0.665,-37.842,77.881,17.639
-0.775,0.062,0.603,-29.602,87.585,17.761
-0.654,0.083,0.724,-13.367,87.280,23.621
-0.691,0.020,0.739,-2.991,98.572,20.325
-0.617,0.021,0.755,-9.460,114.319,24.109
-0.541,0.018,0.874,-11.169,116.943,30.945
-0.467,0.021,0.983,-20.569,108.948,33.630
-0.421,0.009,1.034,-27.893,89.294,32.043
-0.446,0.028,1.117,-31.677,66.833,27.649
-0.465,0.024,1.124,-19.592,49.622,20.447
-0.489,-0.026,1.063,-1.892,36.926,11.292
-0.546,-0.033,1.069,1.160,25.146,4.822
-0.589,-0.013,1.061,0.244,16.296,1.526
